Dirección	Barrio	N° Registro
ZABALA 2477, 9° 902	COLEGIALES	RL-2021-06875040-GCABA-DGTALET
SANTAROSA 5115, PB 1	PALERMO	RL-2021-07964551-GCABA-DGTALET
AMENABAR 3587, 4° A	NUÑEZ	RL-2021-07964729-GCABA-DGTALET
UGARTE 1505, 5° 24	BELGRANO	RL-2021-07964875-GCABA-DGTALET
AYACUCHO 1435, 6° B	RECOLETA	RL-2021-07964993-GCABA-DGTALET
FITZ ROY 2135, 3° A	PALERMO	RL-2021-07965154-GCABA-DGTALET
FITZ ROY 2135, 2° D	PALERMO	RL-2021-07965274-GCABA-DGTALET
ESMERALDA 697, 3° G	SANNICOLAS	RL-2021-08181289-GCABA-DGTALET
PARANA 1097, 5° E	RECOLETA	RL-2021-08183970-GCABA-DGTALET
AYACUCHO 1435, 5° C	RECOLETA	RL-2021-08184931-GCABA-DGTALET
AV. SANTA FE 1970, 23° D	RECOLETA	RL-2021-08185510-GCABA-DGTALET
VERA 110, 3° 10	VILLA CRESPO	RL-2021-08345717-GCABA-DGTALET
AV. LACROZE 3229, 4° G	COLEGIALES	RL-2021-08400906-GCABA-DGTALET
CIUDADDE LA PAZ 1387, 4° A	COLEGIALES	RL-2021-08811641-GCABA-DGTALET
ZAPATA 130, PB A	PALERMO	RL-2021-09132702-GCABA-DGTALET
CHILE 851, 27	MONSERRAT	RL-2021-09136753-GCABA-DGTALET
RAVIGNANI 2206, 7° E	PALERMO	RL-2021-09289913-GCABA-DGTALET
ARMENIA 2430, 1° 4	PALERMO	RL-2021-09291586-GCABA-DGTALET
ESTADOSUNIDOS 337, PB B	SAN TELMO	RL-2021-09293058-GCABA-DGTALET
SANTAROSA 5166	PALERMO	RL-2021-09294723-GCABA-DGTALET
UGARTECHE 3193, 5° C	PALERMO	RL-2021-09297476-GCABA-DGTALET
CONGRESO 2022, 5° C	BELGRANO	RL-2021-09431579-GCABA-DGTALET
AV. DEL LIBERTADOR 6644, 8° A	BELGRANO	RL-2021-09891632-GCABA-DGTALET
MONTAÑESES 2731, 6° B	BELGRANO	RL-2021-10187351-GCABA-DGTALET
GOROSTIAGA 1570, 3° B	PALERMO	RL-2021-10382294-GCABA-DGTALET
WASHINGTON 4050, 2° E	SAAVEDRA	RL-2021-11139419-GCABA-DGDTU
NICARAGUA 6045, 5° 504V	PALERMO	RL-2021-11140682-GCABA-DGDTU
AV. MOREAUDE JUSTO 1848, 2° 18	PUERTOMADERO	RL-2021-11143471-GCABA-DGDTU
NUÑEZ 2471, 3° A	NUÑEZ	RL-2021-11146657-GCABA-DGDTU
AV. CNEL. DIAZ 2583, 6° 1	PALERMO	RL-2021-11148923-GCABA-DGDTU
THAMES 1674	PALERMO	RL-2021-11150270-GCABA-DGDTU
RUIZ HUIDOBRO 3387, 1	SAAVEDRA	RL-2021-11788142-GCABA-DGDTU
VIDT 1646, 7° D	PALERMO	RL-2021-11788655-GCABA-DGDTU
ORTEGA YGASSET 1827, 7° C	PALERMO	RL-2021-12785643-GCABA-DGDTU
RECONQUISTA 870, 8° 29	RETIRO	RL-2021-14800886-GCABA-DGDTU
NICARAGUA 6042, 7° C	PALERMO	RL-2021-15053818-GCABA-DGDTU
THAMES 549, 5° D	VILLA CRESPO	RL-2021-15059168-GCABA-DGDTU
JUNCAL 3376, 4° B	PALERMO	RL-2021-15660681-GCABA-DGDTU
JUANDOMINGOPERON 4153, 7° G	ALMAGRO	RL-2021-15665332-GCABA-DGDTU
COLPAYO 40, 2° A	CABALLITO	RL-2021-15668784-GCABA-DGDTU
JUNIN 1380, 2° C	RECOLETA	RL-2021-15675789-GCABA-DGDTU
VERA PEÑALOZA 599, 6° 447	PUERTOMADERO	RL-2021-15676669-GCABA-DGDTU
JUANAMANSO 1636, 7° 708	PUERTOMADERO	RL-2021-15678023-GCABA-DGDTU
PEÑA 2528, 3° E	RECOLETA	RL-2021-16237924-GCABA-DGDTU
BERUTI 3476, 2° E	PALERMO	RL-2021-16254102-GCABA-DGDTU
JUNCAL 3376, 5° A	PALERMO	RL-2021-16669852-GCABA-DGDTU
MENDOZA 3620, 6° C	BELGRANO	RL-2021-16671313-GCABA-DGDTU
GURRUCHAGA 647, 7° B	VILLA CRESPO	RL-2021-16672153-GCABA-DGDTU
AV. CORRIENTES 3130, 7° B	BALVANERA	RL-2021-17273959-GCABA-DGDTU
ARENALES 2250, 8° C	RECOLETA	RL-2021-17276637-GCABA-DGDTU
COSSETTINI 1528, 1° 117	PUERTOMADERO	RL-2021-17395247-GCABA-DGDTU
JUNIN 1733, 2° A	RECOLETA	RL-2021-17880054-GCABA-DGDTU
AV. CORRIENTES 1856, 10° 5107	BALVANERA	RL-2021-17882106-GCABA-DGDTU
JUNIN 1733, 7° C	RECOLETA	RL-2021-17883401-GCABA-DGDTU
JUNIN 1733, 9° B	RECOLETA	RL-2021-17884359-GCABA-DGDTU
ESMERALDA 902, 8° 8	RETIRO	RL-2021-17887205-GCABA-DGDTU
AV. CORRIENTES 1856, 11° 5118	BALVANERA	RL-2021-17894128-GCABA-DGDTU
CHARLONE 1158, PB	CHACARITA	RL-2021-17895465-GCABA-DGDTU
