fecha	valor
2020-07-01	1
2020-07-02	1
2020-07-03	1
2020-07-04	1
2020-07-05	1
2020-07-06	1
2020-07-07	1
2020-07-08	1
2020-07-09	1
2020-07-10	1
2020-07-11	1
2020-07-12	1
2020-07-13	1
2020-07-14	1
2020-07-15	1
2020-07-16	1
2020-07-17	1
2020-07-18	1
2020-07-19	1.01
2020-07-20	1.01
2020-07-21	1.01
2020-07-22	1.01
2020-07-23	1.01
2020-07-24	1.01
2020-07-25	1.01
2020-07-26	1.01
2020-07-27	1.01
2020-07-28	1.01
2020-07-29	1.01
2020-07-30	1.01
2020-07-31	1.01
2020-08-01	1.01
2020-08-02	1.01
2020-08-03	1.01
2020-08-04	1.01
2020-08-05	1.01
2020-08-06	1.01
2020-08-07	1.01
2020-08-08	1.01
2020-08-09	1.01
2020-08-10	1.01
2020-08-11	1.01
2020-08-12	1.01
2020-08-13	1.01
2020-08-14	1.01
2020-08-15	1.01
2020-08-16	1.01
2020-08-17	1.01
2020-08-18	1.01
2020-08-19	1.02
2020-08-20	1.02
2020-08-21	1.02
2020-08-22	1.02
2020-08-23	1.02
2020-08-24	1.02
2020-08-25	1.02
2020-08-26	1.02
2020-08-27	1.02
2020-08-28	1.02
2020-08-29	1.02
2020-08-30	1.02
2020-08-31	1.02
2020-09-01	1.02
2020-09-02	1.03
2020-09-03	1.03
2020-09-04	1.03
2020-09-05	1.03
2020-09-06	1.03
2020-09-07	1.03
2020-09-08	1.03
2020-09-09	1.03
2020-09-10	1.03
2020-09-11	1.03
2020-09-12	1.03
2020-09-13	1.03
2020-09-14	1.03
2020-09-15	1.04
2020-09-16	1.04
2020-09-17	1.04
2020-09-18	1.04
2020-09-19	1.04
2020-09-20	1.04
2020-09-21	1.04
2020-09-22	1.04
2020-09-23	1.04
2020-09-24	1.04
2020-09-25	1.04
2020-09-26	1.05
2020-09-27	1.05
2020-09-28	1.05
2020-09-29	1.05
2020-09-30	1.05
2020-10-01	1.05
2020-10-02	1.05
2020-10-03	1.05
2020-10-04	1.05
2020-10-05	1.05
2020-10-06	1.05
2020-10-07	1.06
2020-10-08	1.06
2020-10-09	1.06
2020-10-10	1.06
2020-10-11	1.06
2020-10-12	1.06
2020-10-13	1.06
2020-10-14	1.06
2020-10-15	1.06
2020-10-16	1.06
2020-10-17	1.06
2020-10-18	1.07
2020-10-19	1.07
2020-10-20	1.07
2020-10-21	1.07
2020-10-22	1.07
2020-10-23	1.07
2020-10-24	1.07
2020-10-25	1.07
2020-10-26	1.07
2020-10-27	1.07
2020-10-28	1.07
2020-10-29	1.07
2020-10-30	1.07
2020-10-31	1.07
2020-11-01	1.07
2020-11-02	1.07
2020-11-03	1.07
2020-11-04	1.07
2020-11-05	1.08
2020-11-06	1.08
2020-11-07	1.08
2020-11-08	1.08
2020-11-09	1.08
2020-11-10	1.08
2020-11-11	1.08
2020-11-12	1.08
2020-11-13	1.08
2020-11-14	1.08
2020-11-15	1.08
2020-11-16	1.08
2020-11-17	1.08
2020-11-18	1.08
2020-11-19	1.08
2020-11-20	1.09
2020-11-21	1.09
2020-11-22	1.09
2020-11-23	1.09
2020-11-24	1.09
2020-11-25	1.09
2020-11-26	1.09
2020-11-27	1.09
2020-11-28	1.09
2020-11-29	1.09
2020-11-30	1.09
2020-12-01	1.09
2020-12-02	1.1
2020-12-03	1.1
2020-12-04	1.1
2020-12-05	1.1
2020-12-06	1.1
2020-12-07	1.1
2020-12-08	1.1
2020-12-09	1.1
2020-12-10	1.1
2020-12-11	1.1
2020-12-12	1.1
2020-12-13	1.1
2020-12-14	1.11
2020-12-15	1.11
2020-12-16	1.11
2020-12-17	1.11
2020-12-18	1.11
2020-12-19	1.11
2020-12-20	1.11
2020-12-21	1.11
2020-12-22	1.12
2020-12-23	1.12
2020-12-24	1.12
2020-12-25	1.12
2020-12-26	1.12
2020-12-27	1.12
2020-12-28	1.12
2020-12-29	1.13
2020-12-30	1.13
2020-12-31	1.13
2021-01-01	1.13
2021-01-02	1.13
2021-01-03	1.13
2021-01-04	1.14
2021-01-05	1.14
2021-01-06	1.14
2021-01-07	1.14
2021-01-08	1.14
2021-01-09	1.14
2021-01-10	1.14
2021-01-11	1.15
2021-01-12	1.15
2021-01-13	1.15
2021-01-14	1.15
2021-01-15	1.15
2021-01-16	1.15
2021-01-17	1.15
2021-01-18	1.16
2021-01-19	1.16
2021-01-20	1.16
2021-01-21	1.16
2021-01-22	1.16
2021-01-23	1.16
2021-01-24	1.16
2021-01-25	1.16
2021-01-26	1.16
2021-01-27	1.16
2021-01-28	1.16
2021-01-29	1.16
2021-01-30	1.16
2021-01-31	1.17
2021-02-01	1.17
2021-02-02	1.17
2021-02-03	1.17
2021-02-04	1.17
2021-02-05	1.17
2021-02-06	1.17
2021-02-07	1.17
2021-02-08	1.17
2021-02-09	1.17
2021-02-10	1.17
2021-02-11	1.17
2021-02-12	1.18
2021-02-13	1.18
2021-02-14	1.18
2021-02-15	1.18
2021-02-16	1.18
2021-02-17	1.18
2021-02-18	1.18
2021-02-19	1.18
2021-02-20	1.18
2021-02-21	1.19
2021-02-22	1.19
2021-02-23	1.19
2021-02-24	1.19
2021-02-25	1.19
2021-02-26	1.19
2021-02-27	1.19
2021-02-28	1.19
2021-03-01	1.2
2021-03-02	1.2
2021-03-03	1.2
2021-03-04	1.2
2021-03-05	1.2
2021-03-06	1.2
2021-03-07	1.2
2021-03-08	1.2
2021-03-09	1.21
2021-03-10	1.21
2021-03-11	1.21
2021-03-12	1.21
2021-03-13	1.21
2021-03-14	1.21
2021-03-15	1.21
2021-03-16	1.21
2021-03-17	1.22
2021-03-18	1.22
2021-03-19	1.22
2021-03-20	1.22
2021-03-21	1.22
2021-03-22	1.22
2021-03-23	1.22
2021-03-24	1.22
2021-03-25	1.22
2021-03-26	1.23
2021-03-27	1.23
2021-03-28	1.23
2021-03-29	1.23
2021-03-30	1.23
