nombre_barrio_vulnerable	fecha_mes	rango_etario	sexo	posible_extranjero	fallecido	cantidad
Anexo Villa 26	2020-07-01	20_a_49	femenino	no	no	1
Anexo Villa 26	2021-04-01	20_a_49	femenino	no	no	1
Asentamiento Barrio Obrero	2020-07-01	20_a_49	femenino	no	no	1
Asentamiento Barrio Obrero	2020-08-01	50_a_64	femenino	si	no	1
Asentamiento Barrio Obrero	2020-10-01	20_a_49	femenino	no	no	1
Asentamiento Barrio Obrero	2020-10-01	20_a_49	femenino	si	no	1
Asentamiento Barrio Obrero	2020-10-01	65_y_mas	masculino	no	no	1
Asentamiento Barrio Obrero	2020-12-01	20_a_49	femenino	si	no	1
Asentamiento Barrio Obrero	2021-04-01	20_a_49	femenino	si	no	1
Asentamiento Barrio Obrero	2021-04-01	50_a_64	femenino	si	no	1
Asentamiento Barrio Obrero	2022-01-01	20_a_49	femenino	si	no	1
Asentamiento Bermejo	2020-06-01	hasta_19	femenino	si	no	1
Asentamiento Bermejo	2020-06-01	hasta_19	masculino	no	no	1
Asentamiento Bermejo	2020-06-01	20_a_49	femenino	no	no	1
Asentamiento Bermejo	2020-06-01	20_a_49	femenino	si	no	4
Asentamiento Bermejo	2020-06-01	20_a_49	masculino	si	no	2
Asentamiento Bermejo	2020-07-01	hasta_19	femenino	no	no	1
Asentamiento Bermejo	2020-07-01	hasta_19	masculino	no	no	4
Asentamiento Bermejo	2020-07-01	hasta_19	masculino	si	no	1
Asentamiento Bermejo	2020-07-01	20_a_49	femenino	no	no	1
Asentamiento Bermejo	2020-07-01	20_a_49	femenino	si	no	6
Asentamiento Bermejo	2020-07-01	20_a_49	masculino	no	no	3
Asentamiento Bermejo	2020-07-01	20_a_49	masculino	si	no	7
Asentamiento Bermejo	2020-08-01	hasta_19	masculino	no	no	1
Asentamiento Bermejo	2020-08-01	20_a_49	femenino	no	no	1
Asentamiento Bermejo	2020-08-01	20_a_49	femenino	si	no	1
Asentamiento Bermejo	2020-09-01	20_a_49	masculino	no	no	1
Asentamiento Bermejo	2020-10-01	20_a_49	femenino	no	no	1
Asentamiento Bermejo	2020-10-01	20_a_49	masculino	no	no	1
Asentamiento Bermejo	2021-04-01	20_a_49	femenino	si	no	1
Asentamiento Bermejo	2021-05-01	20_a_49	femenino	no	no	1
Asentamiento Bermejo	2021-05-01	20_a_49	femenino	si	no	1
Asentamiento Bermejo	2021-07-01	20_a_49	femenino	si	no	1
Asentamiento Bermejo	2021-10-01	hasta_19	femenino	no	no	1
Asentamiento Bermejo	2022-01-01	20_a_49	femenino	si	no	3
Asentamiento Bermejo	2022-01-01	20_a_49	masculino	no	no	1
Asentamiento Bermejo	2022-01-01	20_a_49	masculino	si	no	1
Asentamiento Bermejo	2022-01-01	50_a_64	masculino	si	no	2
Asentamiento Biarritz y Espino	2020-06-01	20_a_49	femenino	si	no	1
Asentamiento Bosch	2021-02-01	hasta_19	masculino	no	no	1
Asentamiento Calle Bartolomé Mitre	2020-08-01	hasta_19	masculino	no	no	1
Asentamiento Calle Bartolomé Mitre	2020-08-01	20_a_49	femenino	si	no	2
Asentamiento Calle Bartolomé Mitre	2020-08-01	65_y_mas	masculino	no	no	1
Asentamiento Calle Bartolomé Mitre	2021-04-01	20_a_49	femenino	no	no	1
Asentamiento Calle Bartolomé Mitre	2021-04-01	20_a_49	masculino	no	no	2
Asentamiento Calle Bartolomé Mitre	2021-04-01	65_y_mas	femenino	no	no	1
Asentamiento Calle Bartolomé Mitre	2021-05-01	50_a_64	femenino	si	no	1
Asentamiento Calle Bartolomé Mitre	2022-01-01	20_a_49	femenino	no	no	1
Asentamiento Calle Bartolomé Mitre	2022-01-01	20_a_49	femenino	si	no	1
Asentamiento El Campito	2021-05-01	20_a_49	femenino	no	no	1
Asentamiento El pueblito	2020-05-01	20_a_49	femenino	si	no	1
Asentamiento El pueblito	2020-06-01	20_a_49	masculino	si	no	1
Asentamiento El pueblito	2020-06-01	50_a_64	femenino	si	no	1
Asentamiento El pueblito	2020-06-01	50_a_64	masculino	si	no	1
Asentamiento El Triángulo	2020-05-01	20_a_49	masculino	si	no	1
Asentamiento El Triángulo	2020-06-01	hasta_19	femenino	no	no	1
Asentamiento El Triángulo	2020-06-01	hasta_19	masculino	no	no	4
Asentamiento El Triángulo	2020-06-01	20_a_49	femenino	no	no	2
Asentamiento El Triángulo	2020-06-01	20_a_49	femenino	si	no	6
Asentamiento El Triángulo	2020-06-01	20_a_49	masculino	no	no	3
Asentamiento El Triángulo	2020-06-01	20_a_49	masculino	si	no	3
Asentamiento El Triángulo	2020-06-01	50_a_64	femenino	si	no	1
Asentamiento El Triángulo	2020-06-01	50_a_64	masculino	si	no	2
Asentamiento El Triángulo	2020-07-01	hasta_19	femenino	no	no	2
Asentamiento El Triángulo	2020-07-01	hasta_19	masculino	no	no	4
Asentamiento El Triángulo	2020-07-01	20_a_49	femenino	no	no	1
Asentamiento El Triángulo	2020-07-01	20_a_49	femenino	si	no	4
Asentamiento El Triángulo	2020-07-01	20_a_49	masculino	no	no	4
Asentamiento El Triángulo	2020-07-01	20_a_49	masculino	si	no	3
Asentamiento El Triángulo	2020-07-01	50_a_64	femenino	si	no	1
Asentamiento El Triángulo	2020-08-01	hasta_19	femenino	no	no	5
Asentamiento El Triángulo	2020-08-01	hasta_19	femenino	si	no	1
Asentamiento El Triángulo	2020-08-01	hasta_19	masculino	no	no	4
Asentamiento El Triángulo	2020-08-01	20_a_49	femenino	si	no	4
Asentamiento El Triángulo	2020-08-01	20_a_49	masculino	no	no	2
Asentamiento El Triángulo	2020-08-01	20_a_49	masculino	si	no	2
Asentamiento El Triángulo	2020-09-01	20_a_49	femenino	no	no	1
Asentamiento El Triángulo	2020-09-01	20_a_49	masculino	no	no	2
Asentamiento El Triángulo	2020-09-01	20_a_49	masculino	si	no	1
Asentamiento El Triángulo	2020-09-01	50_a_64	femenino	no	no	1
Asentamiento El Triángulo	2020-10-01	20_a_49	masculino	no	no	1
Asentamiento El Triángulo	2020-12-01	hasta_19	masculino	si	no	1
Asentamiento El Triángulo	2021-01-01	hasta_19	femenino	no	no	1
Asentamiento El Triángulo	2021-01-01	20_a_49	femenino	si	no	1
Asentamiento El Triángulo	2021-01-01	20_a_49	masculino	si	no	1
Asentamiento El Triángulo	2021-03-01	hasta_19	masculino	no	no	1
Asentamiento El Triángulo	2021-03-01	20_a_49	masculino	si	no	1
Asentamiento El Triángulo	2021-04-01	hasta_19	masculino	no	no	1
Asentamiento El Triángulo	2021-04-01	hasta_19	masculino	si	no	1
