title	views	year_ago	year
How a File Format Led to a Crossword Scandal - Saul Pwanson	51000	3	2019
Mike Bostock - Keynote - CSVConf 2017	10000	5	2017
Qualitative Research Using Open Source Tools - Beth Duckles & Vicky Steeves	2500	3	2019
Spanking and Spreadsheets: Data-driven Sex Journalism - Jacqueline Nolis & Heather Nolis	2300	3	2019
Angela Bassa - CSVConf 2017	2100	5	2017
Comma Llama - CSVConf 2017	2000	5	2017
Laurie Allen - CSVConf 2017	1600	5	2017
Greg McMullen: A Public BigchainDB: A Blockchain Database for the Decentralized World Computer	1100	6	2016
Karl Broman - Data cleaning principles	861	1	2021
Mathias Buus: Distributing Open Data with Dat	852	6	2016
Vincent Warmerdam - Human-Learn: Let's Draw Machine Learning Models and Train Humans Instead	680	1	2021
Beyond the WARC: Making Web Archives More Useful and User-friendly - Ilya Kreymer	582	3	2019
Ryan Harter - Getting Credit for Invisible Work	446	1	2021
Hilary Parker - CSVConf 2017	427	5	2017
Kate Rabinowitz - CSVConf	417	5	2017
Squishy Amoeba-Like Objects - Darius Kazemi	383	3	2019
Sisi Wei: Keynote on Day 1 of csv,conf,v5	376	2	2020
Sadayuki Furuhashi - Fighting Against Chaotically Separated Values with Embulk	355	6	2016
Emily Riederer - RMarkdown Driven Development	334	2	2020
Day 1 Keynote - Alix Dunn - csvconf	324	3	2019
Keynote: Dr. Kadija Ferryman - Race Matters in Health Data	315	1	2021
Paul Walsh - CSVConf 2017	315	5	2017
Dan Fowler and Rufus Pollock: Frictionless Data	315	6	2016
Revealing Room for Improvement in Accessibility within a Social Media Data Visualization Community	278	1	2021
Rudo Kemper - Mapping and safeguarding indigenous oral histories using an open source tool	262	2	2020
Matt Chadburn: Democratising data at the Financial Times	261	6	2016
Hamdan Azhar - CSVConf 2017	250	5	2017
Emily Jacobi: Keynote on Day 2 of csv,conf,v5	243	2	2020
Keynote: From a spreadsheet to critical data infrastructure: building The COVID Tracking Project	234	1	2021
Using wearables to detect infections: A co-created & community-led pandemic response	223	1	2021
Day 1 Keynote - Dr. Kari L. Jordan	223	3	2019
Keynote: Simon Willson - Datasette and Dogsheep: Liberating your personal data	222	1	2021
Christa Hasenkopf - Fighting air inequality by building a global air quality open data ecosystem	212	2	2020
Bash ⋖3's CSVs: Data Analysis on the cmdline - Nicholas Canzoneri	209	3	2019
Day 2 Keynote - Kirstie Whitaker - csvconf	209	3	2019
Gabriela Rodriguez - CSVConf 2017	206	5	2017
Adam Hyde - CSVConf 2017	205	5	2017
Giulia Santarsieri - (Machine) Learning from Open Data platforms	200	1	2021
Darren Barnes: ONS Databaker: from 'pretty spreadsheets' to useful CSVs	199	6	2016
David Selassie Opoku - Low-Income Data Diaries	198	2	2020
