Pos	Jugador	Club	Puntos	Categoría	id_fetemba
1	Galvano, Nicolás	GTM	3323	0	346
2	Bayona, Lucas	GTM	3313	0	36
3	Fuentes, Leandro	Alvear Club	3214	0	534
4	Bentancor, Martín	Ferrocarril Oeste	3213	0	572
5	Gilabert, Rodrigo	Bar Ping Pong NTE	3195	0	2
6	Orencel Melnick, Alexis	Macabi	3117	0	1134
7	Alto, Gaston	Atlanta	3110	0	2114
8	Cifuentes, Horacio	Macabi	3090	0	852
9	Tabachnik, Pablo	San Lorenzo	3079	0	3031
10	Lorenzo, Santiago	River Plate	3068	0	2395
11	Guadalupe, Matías	Alvear Club	3013	0	1277
12	Temperley, Diego	Alvear Club	2989	0	1
13	Sato Coria, Lautaro	Alvear Club	2966	0	1466
14	Bayona, Rodrigo	GTM	2940	0	306
15	Cillis, Javier	Nikkei TDM	2880	0	14
16	Tenti, Fermín	Macabi	2874	0	72
17	Jang, Luciano	Ferrocarril Oeste	2856	0	961
18	Tresca, Gastón	Fenix	2855	0	1805
19	Joffre, Tomás	Lourdes	2844	0	1272
20	Remon, Juan Pablo	River Plate	2841	0	4
21	Mendez, Mariano	UCA Marash Argentina	2838	0	1403
22	Weiss, Alan	La Legión TDM	2815	0	2408
23	Titolo, Franco	Alvear Club	2782	0	474
24	Costantino, Daniel	River Plate	2763	0	9
25	Callaba, Nicolás	River Plate	2762	0	1858
26	Teplitzky, Diego	Inst.Atlet. Cultural	2760	0	39
27	Velarde, Matias	Alvear Club	2739	0	2530
28	Moavro, Sebastián	Fenix	2736	0	3
29	Gibo, Nicolás	Alvear Club	2735	0	855
30	Teplitzky, Ariel	Inst.Atlet. Cultural	2733	0	6
31	Saragovi, Pablo	Atlanta	2723	0	25
32	Yamamoto, Leandro	Alvear Club	2700	0	737
33	Marini, Santiago	Ferrocarril Oeste	2687	0	1477
34	Jaimovich, Ignacio	Macabi	2656	0	2282
35	Codina, Ana	GTM	2631	0	154
36	Di Salvo, Adriel	Peretz	2627	0	18
37	Acciaresi, Mariano	UCA Marash Argentina	2609	0	49
38	Spinelli, Franco	Ferrocarril Oeste	2594	0	1476
39	Marini, Joaquín	Ferrocarril Oeste	2584	0	1746
40	Alto, Matias	Inst.Atlet. Cultural	2548	0	3081
41	Cieza, Ivan	UCA Marash Argentina	2543	0	2617
42	Cherny, Federico	Macabi	2533	0	945
43	Melluso, Salvador	Atlanta	2533	0	2405
44	Blasco, Lisandro	Fenix	2522	0	2377
45	De Francesco, Nicolás	Fenix	2521	0	19
46	Pichot, Daniel	Ferrocarril Oeste	2519	0	755
47	Pighini, Matías	TMR	2516	0	358
48	Yamashiro, Juan	Nikkei TDM	2513	0	26
49	Weitzner, Mateo	Libre	2502	0	1268
50	Alto, Luciano	GTM	2502	0	3317
51	Fernandez, Leoncio	Ferrocarril Oeste	2494	0	1284
52	Kacowicz, Santiago	Libre	2473	0	1505
53	Romero, Santiago	Ateneo de Versailles	2461	0	2422
54	Waldszan, Matías	Macabi	2459	0	790
55	Brizuela, Hernán	Ferrocarril Oeste	2455	0	141
56	De Leon, Facundo	TMR	2450	0	2677
57	Fukuhara, Paula	Asoc. Yabrudense	2445	0	170
58	De Vincenzo, Matias	Inst.Atlet. Cultural	2445	0	2133
59	Trujillo, Hernán	Alvear Club	2434	0	518
60	Hurevich, Tobias	Macabi	2433	0	2148
61	Sotto, Tomás	Lourdes	2423	0	992
62	Len, Daniel	Atlanta	2416	0	152
