Source	Target	Size
64231	64776	3
64776	63150	3
62213	63725	3
63771	63725	3
58661	62027	3
60242	63661	3
63725	62213	3
63150	62808	3
61240	63725	3
66648	63725	3
63270	66687	3
64449	61240	3
62736	62808	3
62027	64776	3
66687	64776	3
66636	63725	3
62473	63150	3
63661	64776	3
62509	63725	3
60505	60242	3
63679	62213	3
64401	63725	3
63302	66687	3
53225	64776	3
63553	62213	3
62808	62808	3
63690	64776	3
64076	61240	3
60711	66648	3
64505	62213	3
63754	63725	3
61669	61240	3
62083	62027	3
61805	62213	3
60273	64776	3
64231	63150	2
64776	64231	2
62213	63679	2
63771	64776	2
58661	64776	2
60242	63679	2
63725	66636	2
63150	64776	2
61240	64776	2
66648	66687	2
63270	62213	2
64449	62213	2
62736	63725	2
62027	62213	2
66687	63725	2
66636	66687	2
62473	63679	2
63661	63725	2
62509	64776	2
60505	60711	2
63679	63725	2
64401	64776	2
63302	64776	2
53225	63725	2
63553	66648	2
62808	63553	2
63690	63725	2
64076	64401	2
60711	62213	2
64505	63725	2
63754	62213	2
61669	66648	2
62083	62213	2
61805	63725	2
60273	62808	2
64231	62473	1
64776	62213	1
62213	66636	1
63771	63150	1
58661	60711	1
60242	66648	1
63725	63661	1
63150	62473	1
61240	62213	1
66648	64776	1
63270	64776	1
64449	64449	1
62736	62473	1
62027	53225	1
66687	62808	1
66636	62808	1
62473	60273	1
63661	61240	1
62509	53225	1
60505	62027	1
63679	62473	1
64401	62808	1
63302	62808	1
53225	62213	1
63553	64505	1
62808	64076	1
63690	66648	1
64076	62083	1
60711	63679	1
64505	64505	1
63754	61240	1
61669	63679	1
62083	60273	1
61805	66648	1
60273	62473	1
