orderDate,day_of_week,category,name,state,orders,unit_price,total
2022-01-31,1,Classic,Hawaiian Pizza Medium,NV,63,16,1008
2022-01-31,1,Classic,Hawaiian Pizza Large,NV,28,19,532
2022-12-24,6,Classic,Meat Lover's Pizza Small,CA,171,14,2394
2022-12-16,5,Classic,Meat Lover's Pizza Large,NV,31,22,682
2022-11-25,5,Classic,Meat Lover's Pizza Extra Large,NV,52,25,1300
2022-09-13,2,Specialty,BBQ Chicken Pizza Small,NV,10,13,130
2022-09-13,2,Classic,Hawaiian Pizza Large,NV,41,19,779
2022-01-17,1,Classic,Pepperoni Pizza Extra Large,NV,33,23,759
2022-05-30,1,Classic,Pepperoni Pizza Large,CA,95,20,1900
2022-05-30,1,Classic,Hawaiian Pizza Small,CA,83,12,996
2022-04-30,6,Classic,Margherita Pizza Large,CA,120,18,2160
2022-02-18,5,Specialty,Oxtail Pizza Small,NV,42,13,546
2022-05-29,0,Classic,Meat Lover's Pizza Large,CA,92,22,2024
2022-02-06,0,Vegetarian,Sicilian Pizza Extra Large,NV,14,23,322
2022-02-06,0,Classic,Pepperoni Pizza Medium,NV,72,17,1224
2022-09-01,4,Classic,Margherita Pizza Small,NV,29,11,319
2022-07-07,4,Classic,Margherita Pizza Small,CA,138,11,1518
2022-11-29,2,Classic,Hawaiian Pizza Small,CA,82,12,984
2022-03-17,4,Classic,Meat Lover's Pizza Small,NV,46,14,644
2022-03-17,4,Classic,Meat Lover's Pizza Large,NV,30,22,660
2022-02-16,3,Classic,Meat Lover's Pizza Small,CA,72,14,1008
2022-02-16,3,Classic,Meat Lover's Pizza Medium,CA,81,19,1539
2022-02-16,3,Specialty,Oxtail Pizza Small,CA,76,13,988
2022-11-15,2,Classic,Meat Lover's Pizza Extra Large,CA,141,25,3525
2022-10-12,3,Classic,Hawaiian Pizza Large,NV,33,19,627
2022-10-12,3,Classic,Margherita Pizza Medium,NV,32,15,480
2022-02-22,2,Classic,Hawaiian Pizza Extra Large,CA,113,22,2486
2022-02-22,2,Classic,Pepperoni Pizza Small,CA,86,13,1118
2022-02-22,2,Classic,Pepperoni Pizza Medium,CA,161,17,2737
2022-08-06,6,Classic,Meat Lover's Pizza Extra Large,CA,163,25,4075
2022-08-06,6,Specialty,Oxtail Pizza Large,CA,51,20,1020
2022-08-07,0,Classic,Meat Lover's Pizza Extra Large,NV,51,25,1275
2022-09-23,5,Classic,Hawaiian Pizza Small,CA,116,12,1392
2022-12-26,1,Classic,Pepperoni Pizza Medium,CA,138,17,2346
2022-12-25,0,Specialty,Oxtail Pizza Small,CA,109,13,1417
2022-12-25,0,Classic,Meat Lover's Pizza Large,CA,102,22,2244
2022-12-31,6,Classic,Meat Lover's Pizza Extra Large,NV,61,25,1525
2022-07-10,0,Specialty,Oxtail Pizza Large,CA,49,20,980
2022-06-27,1,Specialty,BBQ Chicken Pizza Medium,CA,72,17,1224
2022-06-27,1,Classic,Meat Lover's Pizza Extra Large,CA,104,25,2600
2022-04-24,0,Classic,Margherita Pizza Medium,NV,28,15,420
2022-02-06,0,Specialty,Oxtail Pizza Small,NV,37,13,481
2022-10-02,0,Classic,Pepperoni Pizza Medium,CA,154,17,2618
2022-10-02,0,Specialty,Oxtail Pizza Medium,CA,7,17,119
2022-10-06,4,Classic,Meat Lover's Pizza Extra Large,CA,125,25,3125
2022-12-30,5,Classic,Margherita Pizza Large,CA,87,18,1566
2022-12-30,5,Classic,Meat Lover's Pizza Extra Large,CA,216,25,5400
2022-07-01,5,Classic,Pepperoni Pizza Medium,CA,213,17,3621
2022-07-01,5,Classic,Hawaiian Pizza Extra Large,CA,137,22,3014
2022-03-18,5,Vegetarian,Sicilian Pizza Medium,CA,11,17,187
2022-01-29,6,Specialty,Buffalo Chicken Pizza Extra Large,CA,9,23,207
2022-05-27,5,Classic,Meat Lover's Pizza Extra Large,CA,132,25,3300
2022-05-27,5,Classic,Margherita Pizza Large,CA,100,18,1800
2022-11-02,3,Specialty,BBQ Chicken Pizza Large,CA,60,20,1200
2022-07-16,6,Specialty,BBQ Chicken Pizza Small,CA,54,13,702
2022-07-16,6,Classic,Pepperoni Pizza Small,CA,117,13,1521
2022-01-11,2,Classic,Margherita Pizza Small,CA,107,11,1177
2022-01-11,2,Specialty,Buffalo Chicken Pizza Small,CA,7,13,91
2022-03-19,6,Classic,Pepperoni Pizza Medium,NV,96,17,1632
2022-10-26,3,Classic,Margherita Pizza Extra Large,CA,59,21,1239
2022-06-30,4,Classic,Margherita Pizza Small,NV,39,11,429
2022-09-24,6,Classic,Hawaiian Pizza Medium,CA,239,16,3824
2022-09-24,6,Specialty,BBQ Chicken Pizza Extra Large,CA,22,23,506
2022-07-02,6,Classic,Pepperoni Pizza Small,NV,55,13,715
2022-07-02,6,Specialty,Buffalo Chicken Pizza Large,NV,6,20,120
2022-03-29,2,Classic,Pepperoni Pizza Medium,NV,67,17,1139
2022-03-29,2,Specialty,Oxtail Pizza Small,NV,26,13,338
2022-04-02,6,Classic,Meat Lover's Pizza Small,CA,167,14,2338
2022-04-02,6,Classic,Margherita Pizza Small,CA,174,11,1914
2022-06-04,6,Specialty,Oxtail Pizza Small,CA,79,13,1027
2022-07-08,5,Classic,Meat Lover's Pizza Small,CA,124,14,1736
2022-01-27,4,Specialty,Oxtail Pizza Medium,CA,6,17,102
2022-12-03,6,Classic,Hawaiian Pizza Small,CA,104,12,1248
2022-02-21,1,Classic,Meat Lover's Pizza Small,CA,95,14,1330
2022-02-21,1,Classic,Hawaiian Pizza Medium,CA,194,16,3104
2022-03-27,0,Classic,Margherita Pizza Small,CA,132,11,1452
2022-03-31,4,Classic,Margherita Pizza Extra Large,NV,28,21,588
2022-08-15,1,Specialty,BBQ Chicken Pizza Medium,CA,79,17,1343
2022-08-15,1,Classic,Pepperoni Pizza Extra Large,CA,85,23,1955
2022-08-15,1,Vegetarian,Sicilian Pizza Small,CA,27,13,351
2022-10-11,2,Classic,Meat Lover's Pizza Extra Large,CA,118,25,2950
2022-02-04,5,Classic,Margherita Pizza Extra Large,NV,38,21,798
2022-11-09,3,Classic,Meat Lover's Pizza Medium,CA,70,19,1330
2022-11-09,3,Classic,Hawaiian Pizza Small,CA,73,12,876
2022-07-04,1,Classic,Margherita Pizza Extra Large,CA,70,21,1470
2022-11-21,1,Classic,Margherita Pizza Small,CA,86,11,946
2022-12-29,4,Classic,Margherita Pizza Extra Large,CA,80,21,1680
2022-12-28,3,Classic,Pepperoni Pizza Extra Large,NV,24,23,552
2022-07-08,5,Classic,Margherita Pizza Medium,CA,101,15,1515
2022-09-06,2,Specialty,BBQ Chicken Pizza Medium,NV,29,17,493
2022-11-08,2,Classic,Pepperoni Pizza Extra Large,CA,71,23,1633
2022-12-10,6,Classic,Hawaiian Pizza Medium,CA,260,16,4160
2022-12-10,6,Specialty,Oxtail Pizza Large,CA,66,20,1320
2022-08-16,2,Classic,Meat Lover's Pizza Extra Large,NV,63,25,1575
2022-08-16,2,Classic,Hawaiian Pizza Small,NV,27,12,324
2022-06-28,2,Specialty,BBQ Chicken Pizza Large,NV,17,20,340
2022-10-23,0,Classic,Margherita Pizza Large,CA,64,18,1152
2022-10-23,0,Classic,Meat Lover's Pizza Extra Large,CA,143,25,3575
2022-07-31,0,Classic,Margherita Pizza Large,CA,107,18,1926
2022-04-15,5,Classic,Meat Lover's Pizza Small,CA,128,14,1792
2022-04-15,5,Specialty,BBQ Chicken Pizza Medium,CA,68,17,1156
2022-08-14,0,Specialty,BBQ Chicken Pizza Small,NV,19,13,247
2022-08-14,0,Classic,Margherita Pizza Medium,NV,37,15,555
2022-01-29,6,Classic,Margherita Pizza Small,CA,191,11,2101
2022-01-29,6,Specialty,BBQ Chicken Pizza Medium,CA,85,17,1445
2022-01-01,6,Classic,Hawaiian Pizza Medium,NV,93,16,1488
2022-03-15,2,Classic,Hawaiian Pizza Medium,NV,57,16,912
2022-03-15,2,Classic,Pepperoni Pizza Extra Large,NV,30,23,690
2022-03-15,2,Classic,Meat Lover's Pizza Extra Large,NV,43,25,1075
2022-08-26,5,Classic,Margherita Pizza Large,CA,88,18,1584
2022-08-26,5,Classic,Hawaiian Pizza Medium,CA,232,16,3712
2022-04-04,1,Classic,Pepperoni Pizza Small,CA,80,13,1040
2022-04-04,1,Specialty,Oxtail Pizza Small,CA,71,13,923
2022-04-04,1,Classic,Meat Lover's Pizza Medium,CA,78,19,1482
2022-02-28,1,Classic,Meat Lover's Pizza Medium,CA,74,19,1406
2022-02-28,1,Classic,Pepperoni Pizza Small,CA,91,13,1183
2022-10-18,2,Classic,Pepperoni Pizza Small,NV,22,13,286
2022-12-28,3,Classic,Meat Lover's Pizza Medium,CA,72,19,1368
2022-12-28,3,Classic,Margherita Pizza Medium,CA,54,15,810
2022-12-28,3,Classic,Meat Lover's Pizza Extra Large,CA,166,25,4150
2022-09-21,3,Classic,Meat Lover's Pizza Small,CA,146,14,2044
2022-01-06,4,Classic,Hawaiian Pizza Large,CA,81,19,1539
2022-01-06,4,Specialty,Oxtail Pizza Small,CA,94,13,1222
2022-01-06,4,Classic,Margherita Pizza Extra Large,CA,67,21,1407
2022-09-21,3,Classic,Margherita Pizza Medium,CA,90,15,1350
2022-01-25,2,Classic,Hawaiian Pizza Medium,NV,70,16,1120
2022-07-30,6,Classic,Margherita Pizza Extra Large,NV,50,21,1050
2022-07-30,6,Specialty,BBQ Chicken Pizza Large,NV,19,20,380
2022-10-05,3,Specialty,BBQ Chicken Pizza Large,NV,10,20,200
2022-01-21,5,Specialty,Oxtail Pizza Large,CA,14,20,280
2022-01-21,5,Classic,Pepperoni Pizza Large,CA,94,20,1880
2022-11-22,2,Classic,Margherita Pizza Small,NV,40,11,440
2022-01-19,3,Classic,Meat Lover's Pizza Extra Large,NV,48,25,1200
2022-12-17,6,Classic,Pepperoni Pizza Medium,CA,176,17,2992
2022-07-12,2,Classic,Meat Lover's Pizza Medium,CA,70,19,1330
2022-10-10,1,Classic,Margherita Pizza Extra Large,NV,22,21,462
2022-02-13,0,Classic,Meat Lover's Pizza Large,CA,111,22,2442
2022-02-06,0,Vegetarian,Veggie Pizza Large,NV,8,19,152
2022-07-04,1,Classic,Pepperoni Pizza Small,NV,26,13,338
2022-07-04,1,Classic,Hawaiian Pizza Medium,NV,74,16,1184
2022-02-26,6,Classic,Margherita Pizza Medium,CA,129,15,1935
2022-01-20,4,Classic,Margherita Pizza Medium,CA,69,15,1035
2022-01-20,4,Classic,Pepperoni Pizza Extra Large,CA,95,23,2185
2022-05-03,2,Classic,Pepperoni Pizza Extra Large,CA,85,23,1955
2022-11-24,4,Classic,Hawaiian Pizza Extra Large,CA,92,22,2024
2022-11-24,4,Classic,Pepperoni Pizza Extra Large,CA,69,23,1587
2022-07-24,0,Classic,Meat Lover's Pizza Large,CA,94,22,2068
2022-02-28,1,Classic,Hawaiian Pizza Extra Large,CA,110,22,2420
2022-08-09,2,Classic,Meat Lover's Pizza Small,CA,122,14,1708
2022-08-09,2,Classic,Margherita Pizza Medium,CA,71,15,1065
2022-06-25,6,Classic,Pepperoni Pizza Medium,CA,231,17,3927
2022-10-08,6,Specialty,BBQ Chicken Pizza Small,CA,58,13,754
2022-05-08,0,Classic,Hawaiian Pizza Small,NV,39,12,468
2022-05-27,5,Classic,Pepperoni Pizza Extra Large,CA,84,23,1932
2022-05-27,5,Classic,Hawaiian Pizza Small,CA,125,12,1500
2022-05-27,5,Classic,Margherita Pizza Extra Large,CA,85,21,1785
2022-05-27,5,Classic,Pepperoni Pizza Small,CA,102,13,1326
2022-12-29,4,Classic,Meat Lover's Pizza Small,CA,139,14,1946
2022-04-15,5,Classic,Hawaiian Pizza Extra Large,CA,174,22,3828
2022-09-21,3,Classic,Margherita Pizza Large,CA,89,18,1602
2022-09-21,3,Classic,Meat Lover's Pizza Extra Large,CA,138,25,3450
2022-07-17,0,Classic,Pepperoni Pizza Medium,CA,163,17,2771
2022-05-06,5,Classic,Pepperoni Pizza Large,CA,99,20,1980
2022-05-06,5,Classic,Hawaiian Pizza Medium,CA,203,16,3248
2022-06-02,4,Classic,Pepperoni Pizza Large,CA,89,20,1780
