source	1	2	3
60469	61481	64294	57509
64294	61448	67164	60469
64988	60469	63656	64294
62317	64294	61448	60469
59504	57509	61208	60469
61595	67225	67185	67164
60127	64988	60127	67225
61003	60469	67225	67164
64990	61448	64988	61215
57509	60469	61448	61379
67225	67225	67164	67179
64742	60469	61448	64294
64407	61448	60469	61003
64959	67225	67164	67185
64213	60469	64988	64294
64384	61448	63656	64294
61208	60469	61481	64294
67185	61448	61208	61595
63656	61208	59536	60469
61379	60469	61448	61208
61215	67225	61448	57509
62482	60469	61481	67164
61481	61448	61379	60469
67179	61208	64294	59504
67164	63656	64988	61379
61448	61448	60469	61481
62570	64988	64294	61481
