pos	jugador	club 	puntos	categoria
1	Bayona, Rodrigo	GTM	2940	0
2	Jang, Luciano	Ferrocarril Oeste	2792	0
3	Weiss, Alan	Top Minc	2733	0
4	Tresca, Gastón	Fenix	2711	0
5	Spinelli, Franco	Ferrocarril Oeste	2668	0
6	Yamamoto, Leandro	Alvear Club	2659	0
7	Jaimovich, Ignacio	Top Minc	2625	0
8	Costantino, Daniel	River Plate	2618	0
9	Acciaresi, Mariano	UCA Marash Argentina	2543	0
10	Melluso, Salvador	Atlanta	2533	0
11	Mendez, Mariano	Fulgor Villa Crespo	2532	0
12	Pighini, Matías	TMR	2465	0
13	Delgadillo, Rodrigo	San Lorenzo	2452	0
14	Costantino, Gabriel	CEDIMA	2396	0
15	Sotto, Tomás	Lourdes	2382	0
16	Criado, Federico	Fenix	2377	0
17	Fernandez, Leoncio	Ferrocarril Oeste	2353	0
18	Marini, Joaquín	Ferrocarril Oeste	2327	0
19	Romero, Santiago	Ateneo de Versailles	2324	0
20	Blasco, Francisco Thomas	La Legión TDM	2316	0
21	Casal, Octavio	Estacion Ping Pong	2270	0
22	Lopez Marquez, Ezequiel	Fenix	2270	0
23	Nakagama, Alex R.	Fenix	2252	0
24	Morrazo, Agustín	Alvear Club	2206	0
25	Ramos, Mauro	Fenix	2201	1
26	Carpio, Federico	TMR	2192	1
27	Espina De La Fuente, Thiago	Rioja	2175	1
28	Ciancio, Nicolás	Top Minc	2137	1
29	Neira, Darío	Spin TDM	2100	1
30	Merkin, Alan Gabriel	River Plate	2097	1
31	Perez Altera, Ignacio	Peretz	2079	1
32	Pierini, Ariel	Alvear Club	2073	1
33	Bronstein, Leandro	River Plate	2049	1
34	Bordenave, Galo	Nikkei TDM	2043	1
35	Jang, Agustín	Ferrocarril Oeste	2031	1
36	Candela, Juan	Fenix	2019	1
37	Hernandez, Juan	Intendente Agüero	2008	1
38	Cisilin, Estanislao	Instituto Cia. Maria	2005	1
39	Carpio, Francisco	TMR	2004	1
40	Rodriguez Schoeller, Santiago	Ateneo de Versailles	2004	1
41	De Simone, Mariano	Nichia Gakuin	1990	1
42	Buscema, Milton	Alvear Club	1980	1
43	Wainsztok, Darío	Instituto Cia. Maria	1976	1
44	Iwasa, Agustina	Ferrocarril Oeste	1968	1
45	Lovera Arteaga, Mainor	Top Minc	1961	1
46	Sanchez, Ariel H.	Estacion Ping Pong	1959	1
47	Tchintchinian, Mariano	UCA Marash Argentina	1944	1
48	Carattoli, Lucas J.	Ateneo de Versailles	1943	1
49	Olmos, Agustin	Inst.Atlet. Cultural	1924	1
50	Burotto, Pablo	Nikkei TDM	1917	1
51	Pombo, Federico	Ferrocarril Oeste	1900	1
