Pos	Jugador	Club	Puntos	Categoria
1	Gilabert, Rodrigo                  	Bar Ping Pong NTE             	3202	0
2	Jang, Luciano                      	Ferrocarril Oeste             	2875	0
3	Mendez, Mariano                    	UCA Marash Argentina          	2873	0
4	Tresca, Gastón                     	Fenix                         	2860	0
5	Weiss, Alan                        	La Legión TDM                 	2809	0
6	Costantino, Daniel                 	River Plate                   	2801	0
7	Marini, Santiago                   	Ferrocarril Oeste             	2700	0
8	Jaimovich, Ignacio                 	Macabi                        	2672	0
9	Marini, Joaquín                    	Ferrocarril Oeste             	2549	0
10	Pighini, Matías                    	TMR                           	2512	0
11	Heis, Nicolás                      	River Plate                   	2439	0
12	Romero, Santiago                   	Ateneo de Versailles          	2431	0
13	Rodriguez Schoeller, Santiago      	Ateneo de Versailles          	2413	0
14	Lopez Marquez, Ezequiel            	Macabi                        	2385	0
15	Casal, Octavio                     	Estacion Ping Pong            	2372	0
16	Delgadillo, Rodrigo                	San Lorenzo                   	2335	0
17	Carattoli, Lucas J.                	Ateneo de Versailles          	2270	0
18	Sanchez, Ariel H.                  	Estacion Ping Pong            	2252	0
19	Ramos, Mauro                       	Fenix                         	2240	0
20	Bronstein, Facundo                 	River Plate                   	2194	0
21	Mosteirin Clemente, Camilo         	TMR                           	2193	0
22	Perez Altera, Ignacio              	Peretz                        	2178	0
23	Burotto, Pablo                     	Nikkei TDM                    	2176	0
24	Neira, Darío                       	Spin TDM                      	2158	0
25	Bernardou, Tomas                   	Ateneo de Versailles          	2129	1
26	Menghi, Manuel                     	Gimnasty                      	2112	1
27	Bentancourt, Luciano               	GTM                           	2101	1
28	Carpio, Francisco                  	Alvear Club                   	2081	1
29	Bronstein, Leandro                 	River Plate                   	2071	1
30	Duran, Ian                         	Fulgor Villa Crespo           	2039	1
31	Sassone, Marco                     	Alvear Club                   	2020	1
32	Rossi Vera, Santino                	Peretz                        	2007	1
33	Carranza, Mateo                    	GTM                           	1995	1
34	Kamimura, Emilio                   	CAVA                          	1975	1
35	Smodlaka, Guido I.                 	Alvear Club                   	1975	1
36	Schvartz, Ivan                     	Macabi                        	1960	1
37	Wainsztok, Darío                   	Arg Takkyu                    	1956	1
38	Zaffaroni Velazquez, Luca N.       	Fenix                         	1945	1
39	Sosa, Mateo                        	River Plate                   	1918	1
40	Sarso, Luciano                     	San Lorenzo                   	1916	1
41	Munno, Alvaro                      	Rioja                         	1907	1
42	Krowicki, Nahuel                   	Intendente Agüero             	1900	1
43	Sato, Maximiliano                  	Rioja                         	1896	1
44	Nakagama, Alan Jun                 	Fenix                         	1876	1
45	Beloqui, Ramón                     	River Plate                   	1860	1
46	Azzurro, Ignacio                   	Gimnasty                      	1853	1
47	Marginet Campos, Alejandro         	GTM                           	1851	1
48	Buscema, Milton                    	Alvear Club                   	1843	1
49	Marcial, Alma G.                   	Alvear Club                   	1821	1
50	Ortega, Maximiliano                	CAVA                          	1815	1
51	Kenji Kamida, Diego                	Alvear Club                   	1809	1
52	Carattoli, Matias J.               	Ateneo de Versailles          	1806	1
53	Sclar, Matias                      	Alvear Club                   	1804	1
