pos	id	jugador	club 	puntos	categoria
1	2	Gilabert, Rodrigo                  	Bar Ping Pong NTE             	3235	0
2	961	Jang, Luciano                      	Ferrocarril Oeste             	2907	0
3	1403	Mendez, Mariano                    	UCA Marash Argentina          	2879	0
4	1805	Tresca, Gastón                     	Fenix                         	2810	0
5	9	Costantino, Daniel                 	River Plate                   	2809	0
6	2408	Weiss, Alan                        	La Legión TDM                 	2736	0
7	1477	Marini, Santiago                   	Ferrocarril Oeste             	2645	0
8	2282	Jaimovich, Ignacio                 	Macabi                        	2637	0
9	1746	Marini, Joaquín                    	Ferrocarril Oeste             	2546	0
10	2422	Romero, Santiago                   	Ateneo de Versailles          	2524	0
11	358	Pighini, Matías                    	TMR                           	2517	0
12	2391	Rodriguez Schoeller, Santiago      	Ateneo de Versailles          	2470	0
13	2778	Carattoli, Lucas J.                	Ateneo de Versailles          	2459	0
14	1114	Heis, Nicolás                      	River Plate                   	2433	0
15	3749	Mosteirin Clemente, Camilo         	TMR                           	2429	0
16	32	Casal, Octavio                     	Estacion Ping Pong            	2389	0
17	936	Lopez Marquez, Ezequiel            	Macabi                        	2373	0
18	3042	Bronstein, Facundo                 	River Plate                   	2325	0
19	625	Delgadillo, Rodrigo                	San Lorenzo                   	2311	0
20	3375	Sanchez, Ariel H.                  	Estacion Ping Pong            	2252	0
21	2492	Burotto, Pablo                     	Nikkei TDM                    	2221	0
22	949	Ramos, Mauro                       	Fenix                         	2219	0
23	1282	Menghi, Manuel                     	Gimnasty                      	2138	0
24	694	Bentancourt, Luciano               	GTM                           	2137	0
25	893	Neira, Darío                       	Spin TDM                      	2134	1
26	129	Perez Altera, Ignacio              	Peretz                        	2114	1
27	1948	Duran, Ian                         	Fulgor Villa Crespo           	2108	1
28	2772	Bernardou, Tomas                   	Ateneo de Versailles          	2103	1
29	1488	Carpio, Francisco                  	Alvear Club                   	2073	1
30	21	Bronstein, Leandro                 	River Plate                   	2071	1
31	3357	Rossi Vera, Santino                	Peretz                        	2032	1
32	857	Kamimura, Emilio                   	CAVA                          	2016	1
33	3394	Carranza, Mateo                    	GTM                           	2010	1
34	3029	Zaffaroni Velazquez, Luca N.       	Fenix                         	1999	1
35	3230	Sassone, Marco                     	Alvear Club                   	1980	1
36	2737	Smodlaka, Guido I.                 	Alvear Club                   	1975	1
37	2410	Munno, Alvaro                      	Rioja                         	1970	1
38	882	Sato, Maximiliano                  	Rioja                         	1961	1
39	17	Wainsztok, Darío                   	Arg Takkyu                    	1956	1
40	2633	Schvartz, Ivan                     	Macabi                        	1952	1
41	2938	Nakagama, Alan Jun                 	Fenix                         	1926	1
42	3037	Sosa, Mateo                        	River Plate                   	1915	1
43	1237	Sarso, Luciano                     	San Lorenzo                   	1910	1
44	889	Krowicki, Nahuel                   	Intendente Agüero             	1888	1
45	782	Marginet Campos, Alejandro         	GTM                           	1865	1
46	156	Beloqui, Ramón                     	River Plate                   	1860	1
47	2304	Buscema, Milton                    	Alvear Club                   	1837	1
48	3049	Marcial, Alma G.                   	Alvear Club                   	1836	1
49	3712	Sclar, Matias                      	Alvear Club                   	1830	1
50	3084	Azzurro, Ignacio                   	Gimnasty                      	1827	1
51	4638	Ryzhov, Anatolii                   	Bar Ping Pong NTE             	1820	1
52	944	Kenji Kamida, Diego                	Alvear Club                   	1806	1
53	2779	Carattoli, Matias J.               	Ateneo de Versailles          	1806	1
54	190	Ortega, Maximiliano                	CAVA                          	1793	1
55	957	Romero, Elias                      	CEDIMA                        	1787	1
56	3358	La Boccetta, Ignacio               	Peretz                        	1777	1
57	3345	Sanchez, Martin C.                 	Ateneo de Versailles          	1770	1
58	1738	Darcyl, Leonardo                   	Padilla                       	1756	1
59	3717	Fernandez Arevalo, Mariano         	Nikkei TDM                    	1754	1
60	3750	Notturno, Nicolas                  	TMR                           	1741	1
61	104	Correas Espeche, Ezequiel          	Rioja                         	1723	2
62	519	San Millan, Federico               	Rioja                         	1705	2
63	1757	Okuyama, Abril                     	Asoc. Jap. Burzaco            	1705	2
64	2015	Lori, Hikaru                       	GTM                           	1705	2
65	2718	Dorigoni, Enzo                     	Libertad                      	1696	2
66	3565	Di Girolamo, Bruno                 	Fenix                         	1675	2
67	515	Tiercin, Gonzalo                   	Atlanta                       	1669	2
68	4368	Nikitin, Evgeny                    	Ferrocarril Oeste             	1661	2
69	3658	Castagnola, Cristian A.            	Rioja                         	1653	2
70	1921	Palazzo, Didier                    	Ateneo de Versailles          	1651	2
71	2180	Velazquez, Bruno                   	CEDIMA                        	1623	2
72	3374	Marcial, Luca Valentino            	Alvear Club                   	1618	2
73	2982	Parinelli, David                   	Boca Juniors                  	1614	2
74	663	Bertran, Ezequiel                  	GTM                           	1613	2
75	1985	Avian, Ignacio                     	San Lorenzo                   	1589	2
76	2738	Loiacono, Joaquin                  	Alvear Club                   	1578	2
77	1229	Kaniuka, Aleksy                    	CEDIMA                        	1567	2
78	1952	Camagna, Diego Andrés              	Fenix                         	1566	2
79	1467	Rotryng Alvarez, Facundo           	Macabi                        	1557	2
80	220	Nakasone, Claudio                  	Asoc. Jap. Burzaco            	1556	2
81	2486	Ortiz, Carlos N.                   	Libertad                      	1542	2
82	3778	Dias, Juan Cruz                    	Alvear Club                   	1539	2
83	3360	Puk Vidal, Sebastian               	Peretz                        	1520	2
84	1517	Orobio, Manuel                     	Tigre TDM                     	1514	2
85	2695	Frasson, Gabriel                   	Libertad                      	1505	2
86	50	Rodriguez, Diego                   	El Galpong                    	1500	2
87	2049	Bisforo, Lucas                     	Padilla                       	1485	2
88	3524	Molina, Juan Martin                	Fenix                         	1480	2
89	2041	Szeinfain, Thomas                  	Ateneo de Versailles          	1479	2
90	2675	Buquete, Luis Mariano              	El Galpong                    	1478	2
91	3792	Maldonado, Agustin                 	GTM                           	1477	2
92	595	Garcia, Román                      	Gimnasty                      	1475	2
93	570	Josid, Alex                        	Macabi                        	1461	2
94	2940	Arnaudo, Facundo E.                	Ferrocarril Oeste             	1460	2
95	3435	Ramos, Sebastian                   	Ateneo de Versailles          	1460	2
96	3462	Cornejo, Franco                    	GTM                           	1456	2
97	2034	Ghini, Bruno                       	Ateneo de Versailles          	1451	2
98	2859	Alvarez, Felipe                    	Alvear Club                   	1440	2
99	3952	Florindo Molina, Claudio           	Spin TDM                      	1439	2
100	2247	Tomasello, Lucio                   	Ferrocarril Oeste             	1434	2
101	3640	Sosa, Emiliano                     	River Plate                   	1432	2
102	2828	Nizetich Tripodi, Lautaro          	Fenix                         	1424	2
103	1400	Sanucci, Matías                    	CAVA                          	1408	2
104	93	Jaimovich, David                   	Fenix                         	1406	2
105	3786	Pagano, Francisco                  	Alvear Club                   	1400	2
106	2922	Mamone, Matias                     	Alvear Club                   	1394	2
