pos	jugador	club 	puntos	categoria
1	Galvano, Nicolás	River Plate	3323	0
2	Bayona, Lucas	GTM	3279	0
3	Bentancor, Martín	Ferrocarril Oeste	3192	0
4	Alto, Gaston	Atlanta	3110	0
5	Fuentes, Leandro	Alvear Club	3098	0
6	Cifuentes, Horacio	Atlanta	3090	0
7	Orencel Melnick, Alexis	GTM	3082	0
8	Tabachnik, Pablo	San Lorenzo	3079	0
9	Lorenzo, Santiago	Ferrocarril Oeste	3068	0
10	Gilabert, Rodrigo	River Plate	3025	0
11	Guadalupe, Matías	Ferrocarril Oeste	3005	0
12	Sato Coria, Lautaro	Alvear Club	2973	0
13	Temperley, Diego	Alvear Club	2960	0
14	Bayona, Rodrigo	GTM	2940	0
15	Cillis, Javier	Nikkei TDM	2919	0
16	Teplitzky, Diego	San Lorenzo	2896	0
17	Tenti, Fermín	Gimnasty	2874	0
18	Joffre, Tomás	Lourdes	2844	0
19	Remon, Juan Pablo	River Plate	2804	0
20	Jang, Luciano	Ferrocarril Oeste	2792	0
21	Titolo, Franco	Alvear Club	2748	0
22	Velarde, Matias	Alvear Club	2739	0
23	Moavro, Sebastián	Fenix	2736	0
24	Teplitzky, Ariel	San Lorenzo	2734	0
25	Weiss, Alan	Top Minc	2733	0
26	Saragovi, Pablo	Atlanta	2723	0
27	Tresca, Gastón	Fenix	2711	0
28	Gibo, Nicolás	Alvear Club	2685	0
29	Spinelli, Franco	Ferrocarril Oeste	2668	0
30	Callaba, Nicolás	Atlanta	2667	0
31	Yamamoto, Leandro	Alvear Club	2659	0
32	Di Salvo, Adriel	Peretz	2627	0
33	Jaimovich, Ignacio	Top Minc	2625	0
34	Costantino, Daniel	River Plate	2618	0
35	Blasco, Lisandro	Top Minc	2616	0
36	Codina, Ana	GTM	2612	0
37	Cherny, Federico	Macabi	2611	0
38	Mariño, Ignacio Javier	CEDIMA	2593	0
39	Alto, Matias	Inst.Atlet. Cultural	2548	0
40	Acciaresi, Mariano	UCA Marash Argentina	2543	0
41	Melluso, Salvador	Atlanta	2533	0
42	Mendez, Mariano	Fulgor Villa Crespo	2532	0
43	De Francesco, Nicolás	Fenix	2521	0
44	Alto, Luciano	GTM	2518	0
45	Marini, Santiago	Ferrocarril Oeste	2508	0
46	Weitzner, Mateo	Libre	2502	0
47	Baca, Emir	Inst.Atlet. Cultural	2492	0
48	Yamashiro, Juan	Nikkei TDM	2479	0
49	Pichot, Daniel	Ferrocarril Oeste	2478	0
50	De Leon, Facundo	TMR	2477	0
51	Waldszan, Matías	Macabi	2475	0
52	Kacowicz, Santiago	Libre	2473	0
53	Pighini, Matías	TMR	2465	0
54	Hurevich, Tobias	Ferrocarril Oeste	2459	0
55	Brizuela, Hernán	Ferrocarril Oeste	2455	0
56	Delgadillo, Rodrigo	San Lorenzo	2452	0
57	De Vincenzo, Matias	Inst.Atlet. Cultural	2445	0
58	Fukuhara, Paula	AsociacionYabrudense	2440	0
59	Trujillo, Hernán	Alvear Club	2434	0
60	Len, Daniel	Atlanta	2416	0
61	Cieza, Ivan	Alvear Club	2404	0
