Pos	Jugador	Club	Puntos	Categoría
1	Bayona, Lucas                      	GTM                           	3331	0
2	Galvano, Nicolás                   	GTM                           	3323	0
3	Fuentes, Leandro                   	Alvear Club                   	3214	0
4	Bentancor, Martín                  	Ferrocarril Oeste             	3213	0
5	Gilabert, Rodrigo                  	Bar Ping Pong NTE             	3202	0
6	Orencel Melnick, Alexis            	Macabi                        	3117	0
7	Alto, Gaston                       	Atlanta                       	3110	0
8	Cifuentes, Horacio                 	Macabi                        	3090	0
9	Tabachnik, Pablo                   	San Lorenzo                   	3079	0
10	Lorenzo, Santiago                  	River Plate                   	3068	0
11	Guadalupe, Matías                  	Alvear Club                   	3013	0
12	Temperley, Diego                   	Alvear Club                   	2989	0
13	Sato Coria, Lautaro                	Alvear Club                   	2975	0
14	Bayona, Rodrigo                    	GTM                           	2954	0
15	Cillis, Javier                     	Nikkei TDM                    	2884	0
16	Jang, Luciano                      	Ferrocarril Oeste             	2875	0
17	Tenti, Fermín                      	Macabi                        	2874	0
18	Mendez, Mariano                    	UCA Marash Argentina          	2873	0
19	Tresca, Gastón                     	Fenix                         	2860	0
20	Remon, Juan Pablo                  	River Plate                   	2845	0
21	Joffre, Tomás                      	Lourdes                       	2844	0
22	Weiss, Alan                        	La Legión TDM                 	2809	0
23	Costantino, Daniel                 	River Plate                   	2801	0
24	Titolo, Franco                     	Alvear Club                   	2782	0
25	Callaba, Nicolás                   	River Plate                   	2762	0
26	Velarde, Matias                    	Alvear Club                   	2739	0
27	Moavro, Sebastián                  	Fenix                         	2736	0
28	Gibo, Nicolás                      	Alvear Club                   	2736	0
29	Teplitzky, Ariel                   	Inst.Atlet. Cultural          	2730	0
30	Saragovi, Pablo                    	Atlanta                       	2723	0
31	Teplitzky, Diego                   	Inst.Atlet. Cultural          	2721	0
32	Yamamoto, Leandro                  	Alvear Club                   	2700	0
33	Marini, Santiago                   	Ferrocarril Oeste             	2700	0
34	Jaimovich, Ignacio                 	Macabi                        	2672	0
35	Codina, Ana                        	GTM                           	2631	0
36	Di Salvo, Adriel                   	Peretz                        	2627	0
37	Acciaresi, Mariano                 	UCA Marash Argentina          	2615	0
