pos	id	jugador	club	puntos	categoria
1	346	Galvano, Nicolás                   	GTM                           	3323	0
2	36	Bayona, Lucas                      	GTM                           	3320	0
3	2	Gilabert, Rodrigo                  	Bar Ping Pong NTE             	3235	0
4	534	Fuentes, Leandro                   	Alvear Club                   	3214	0
5	572	Bentancor, Martín                  	Ferrocarril Oeste             	3213	0
6	2114	Alto, Gaston                       	Atlanta                       	3110	0
7	1134	Orencel Melnick, Alexis            	Macabi                        	3095	0
8	852	Cifuentes, Horacio                 	Macabi                        	3090	0
9	3031	Tabachnik, Pablo                   	San Lorenzo                   	3079	0
10	2395	Lorenzo, Santiago                  	River Plate                   	3068	0
11	1466	Sato Coria, Lautaro                	Alvear Club                   	3061	0
12	1277	Guadalupe, Matías                  	Alvear Club                   	3037	0
13	1	Temperley, Diego                   	Alvear Club                   	2989	0
14	306	Bayona, Rodrigo                    	GTM                           	2974	0
15	961	Jang, Luciano                      	Ferrocarril Oeste             	2907	0
16	1403	Mendez, Mariano                    	UCA Marash Argentina          	2879	0
17	72	Tenti, Fermín                      	Macabi                        	2874	0
18	1858	Callaba, Nicolás                   	River Plate                   	2864	0
19	14	Cillis, Javier                     	Nikkei TDM                    	2852	0
20	1272	Joffre, Tomás                      	Lourdes                       	2844	0
21	4	Remon, Juan Pablo                  	River Plate                   	2834	0
22	1805	Tresca, Gastón                     	Fenix                         	2810	0
23	9	Costantino, Daniel                 	River Plate                   	2809	0
24	474	Titolo, Franco                     	Alvear Club                   	2782	0
25	6	Teplitzky, Ariel                   	Inst.Atlet. Cultural          	2772	0
26	2530	Velarde, Matias                    	Alvear Club                   	2739	0
27	3	Moavro, Sebastián                  	Fenix                         	2736	0
28	2408	Weiss, Alan                        	La Legión TDM                 	2736	0
29	855	Gibo, Nicolás                      	Alvear Club                   	2725	0
30	25	Saragovi, Pablo                    	Atlanta                       	2723	0
31	39	Teplitzky, Diego                   	Inst.Atlet. Cultural          	2721	0
32	737	Yamamoto, Leandro                  	Alvear Club                   	2700	0
33	1477	Marini, Santiago                   	Ferrocarril Oeste             	2645	0
34	2282	Jaimovich, Ignacio                 	Macabi                        	2637	0
35	154	Codina, Ana                        	GTM                           	2631	0
36	18	Di Salvo, Adriel                   	Peretz                        	2627	0
37	49	Acciaresi, Mariano                 	UCA Marash Argentina          	2615	0
38	1476	Spinelli, Franco                   	Ferrocarril Oeste             	2594	0
39	2617	Cieza, Ivan                        	UCA Marash Argentina          	2584	0
40	3081	Alto, Matias                       	Inst.Atlet. Cultural          	2548	0
41	1746	Marini, Joaquín                    	Ferrocarril Oeste             	2546	0
42	2405	Melluso, Salvador                  	Atlanta                       	2533	0
43	2422	Romero, Santiago                   	Ateneo de Versailles          	2524	0
44	19	De Francesco, Nicolás              	Fenix                         	2521	0
45	358	Pighini, Matías                    	TMR                           	2517	0
46	1268	Weitzner, Mateo                    	Libre                         	2502	0
47	3317	Alto, Luciano                      	GTM                           	2502	0
48	755	Pichot, Daniel                     	Ferrocarril Oeste             	2497	0
49	1284	Fernandez, Leoncio                 	Ferrocarril Oeste             	2494	0
50	945	Cherny, Federico                   	Macabi                        	2487	0
51	26	Yamashiro, Juan                    	Nikkei TDM                    	2482	0
52	1505	Kacowicz, Santiago                 	Libre                         	2473	0
53	2391	Rodriguez Schoeller, Santiago      	Ateneo de Versailles          	2470	0
54	2377	Blasco, Lisandro                   	Fenix                         	2460	0
55	790	Waldszan, Matías                   	Macabi                        	2459	0
56	2778	Carattoli, Lucas J.                	Ateneo de Versailles          	2459	0
57	141	Brizuela, Hernán                   	Ferrocarril Oeste             	2455	0
58	2677	De Leon, Facundo                   	TMR                           	2450	0
59	2133	De Vincenzo, Matias                	Inst.Atlet. Cultural          	2445	0
60	518	Trujillo, Hernán                   	Alvear Club                   	2434	0
61	2148	Hurevich, Tobias                   	Macabi                        	2433	0
62	1114	Heis, Nicolás                      	River Plate                   	2433	0
63	3749	Mosteirin Clemente, Camilo         	TMR                           	2429	0
64	152	Len, Daniel                        	Atlanta                       	2416	0
65	170	Fukuhara, Paula                    	Asoc. Yabrudense              	2416	0
66	992	Sotto, Tomás                       	Lourdes                       	2397	0
67	12	Baca, Emir                         	Inst.Atlet. Cultural          	2393	0
68	32	Casal, Octavio                     	Estacion Ping Pong            	2389	0
69	20	Nizetich, Patricio                 	CTDM Nizetich                 	2379	0
70	15	Criado, Federico                   	Fenix                         	2377	0
71	936	Lopez Marquez, Ezequiel            	Macabi                        	2373	0
72	164	Costantino, Gabriel                	CEDIMA                        	2372	0
73	5	Barak, Gonzalo                     	Banco Nacion                  	2370	0
74	276	Kanashiro, Joaquín                 	Peretz                        	2368	0
75	1911	Riestra, Tomás                     	Tigre TDM                     	2365	0
76	2557	Basso, Valentin                    	Gimnasty                      	2357	0
77	4479	Codina, Gaston                     	San Lorenzo                   	2357	0
78	1513	Mariño, Ignacio Javier             	CEDIMA                        	2351	0
79	1740	Morrazo, Agustín                   	Alvear Club                   	2339	0
80	1625	Blasco, Francisco Thomas           	La Legión TDM                 	2337	0
81	2534	Azcoaga Puyó, Christian E.         	UCA Marash Argentina          	2336	0
82	1287	Gabaldon, Christopher              	Fenix                         	2331	0
83	3042	Bronstein, Facundo                 	River Plate                   	2325	0
84	1516	Marsaglia, Matías                  	Tigre TDM                     	2320	0
85	625	Delgadillo, Rodrigo                	San Lorenzo                   	2311	0
86	3912	Vivas, Matias L.                   	La Legión TDM                 	2301	0
87	1489	Conde Meira, Matías                	TMR                           	2297	0
88	437	Lorenzotti, Gonzalo                	Tigre TDM                     	2296	0
89	844	Tolosa, Santiago                   	CTDM Nizetich                 	2293	0
90	3043	Sanchi, Tomas                      	Alvear Club                   	2292	0
91	2657	Riera Castillo, Simon A.           	CEDIMA                        	2290	0
92	1280	Peralta Bello, Valentino           	Gimnasty                      	2289	0
93	2562	Gonzales, Sebastian                	Libre                         	2279	0
94	821	Politti, Giuliano                  	Alvear Club                   	2260	0
95	1044	Espina De La Fuente, Thiago        	Rioja                         	2256	0
